"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Braxton Berrios","NYJ","WR93","0.1","1.1","0.0","1.8","22.4","0.1","0.0","3.1"
"Bryan Edwards","LV","WR94","0.1","0.3","0.0","1.7","23.6","0.1","0.0","3.0"
"Drew Sample","CIN","TE26","0.0","0.0","0.0","2.5","24.1","0.1","0.0","3.0"
"David Njoku","CLE","TE27","0.0","0.0","0.0","1.6","21.0","0.1","0.0","3.0"
"Dawson Knox","BUF","TE28","0.0","0.0","0.0","1.8","22.9","0.1","0.0","3.0"
"John Hightower","PHI","WR95","0.1","0.3","0.0","1.9","24.5","0.1","0.0","2.9"
"Kalif Raymond","TEN","WR96","0.2","0.3","0.0","1.6","25.1","0.1","0.0","2.9"
"Chris Conley","JAC","WR97","0.0","0.0","0.0","1.8","24.4","0.1","0.0","2.9"
"Gerald Everett","LAR","TE29","0.0","0.0","0.0","2.1","23.9","0.1","0.0","2.8"
"Kerryon Johnson","DET","RB58","3.7","15.5","0.1","1.1","7.4","0.0","0.0","2.8"
"Olamide Zaccheaus","ATL","WR98","0.0","0.3","0.0","1.8","22.0","0.1","0.0","2.8"
"Jordan Reed","SF","TE30","0.0","0.0","0.0","1.7","16.0","0.2","0.0","2.8"
"Denzel Mims","NYJ","WR99","0.0","0.2","0.0","1.9","24.0","0.1","0.0","2.8"
"Phillip Dorsett II","SEA","WR100","0.1","1.1","0.0","1.1","14.0","0.2","0.0","2.7"
"Dan Arnold","ARI","TE31","0.0","0.0","0.0","1.8","21.4","0.1","0.0","2.7"
"Ian Thomas","CAR","TE32","0.0","0.0","0.0","2.2","19.4","0.1","0.0","2.7"
"Carlos Hyde","SEA","RB59","4.7","17.0","0.1","1.1","5.1","0.0","0.1","2.7"
"James O'Shaughnessy","JAC","TE33","0.0","0.0","0.0","2.1","19.8","0.1","0.0","2.6"
"Alshon Jeffery","PHI","WR101","0.0","0.0","0.0","1.8","25.0","0.0","0.0","2.6"
"Rashard Higgins","CLE","WR102","0.0","0.0","0.0","1.3","18.1","0.1","0.0","2.5"
"Cameron Brate","TB","TE34","0.0","0.0","0.0","1.6","17.0","0.1","0.0","2.5"
"Equanimeous St. Brown","GB","WR103","0.0","0.2","0.0","1.4","19.3","0.1","0.0","2.5"
"Peyton Barber","WAS","RB60","4.8","15.7","0.1","0.5","2.4","0.0","0.0","2.5"
"Levine Toilolo","NYG","TE35","0.0","0.0","0.0","1.5","19.0","0.1","0.0","2.5"
"Tyler Johnson","TB","WR104","0.0","0.2","0.0","1.6","20.1","0.1","0.0","2.5"
"Lee Smith","BUF","TE36","0.0","0.0","0.0","0.7","6.0","0.3","0.0","2.4"
"Trenton Cannon","CAR","RB61","2.8","9.6","0.1","1.2","8.8","0.0","0.0","2.4"
"Ryan Izzo","NE","TE37","0.0","0.0","0.0","1.6","18.4","0.1","0.0","2.4"
"Kaden Smith","NYG","TE38","0.0","0.0","0.0","1.9","17.4","0.1","0.0","2.4"
"Dion Lewis","NYG","RB62","2.9","9.6","0.0","1.6","11.5","0.0","0.0","2.4"
"Van Jefferson","LAR","WR105","0.1","0.4","0.0","1.4","19.3","0.1","0.0","2.3"
"Tanner Hudson","TB","TE39","0.0","0.0","0.0","1.9","20.5","0.1","0.0","2.3"
"Wayne Gallman","NYG","RB63","4.1","15.6","0.1","1.0","5.1","0.0","0.1","2.3"
"Chris Herndon IV","NYJ","TE40","0.0","0.0","0.0","1.9","19.7","0.1","0.0","2.3"
"Ryan Griffin","NYJ","TE41","0.0","0.0","0.0","1.7","16.2","0.1","0.0","2.2"
"Will Dissly","SEA","TE42","0.0","0.0","0.0","1.4","15.3","0.1","0.0","2.2"
"DaeSean Hamilton","DEN","WR106","0.0","0.0","0.0","1.8","18.6","0.1","0.0","2.2"
"Jesse James","DET","TE43","0.0","0.0","0.0","1.4","15.3","0.1","0.0","2.2"
"Ito Smith","ATL","RB64","2.6","9.8","0.1","1.0","6.4","0.0","0.0","2.2"
"Antonio Gandy-Golden","WAS","WR107","0.1","0.4","0.0","1.3","16.2","0.1","0.0","2.1"
"Tyler Kroft","BUF","TE44","0.0","0.0","0.0","1.6","15.5","0.1","0.0","2.1"
"Anthony McFarland Jr.","PIT","RB65","3.1","11.9","0.1","0.9","6.0","0.0","0.0","2.1"
"Freddie Swain","SEA","WR108","0.0","0.1","0.0","1.3","15.8","0.1","0.0","2.1"
"Harrison Bryant","CLE","TE45","0.0","0.0","0.0","1.4","14.6","0.1","0.0","2.1"
"Marcedes Lewis","GB","TE46","0.0","0.0","0.0","1.1","11.6","0.2","0.0","2.1"
"Collin Johnson","JAC","WR109","0.1","0.2","0.0","1.3","17.7","0.0","0.0","2.1"
"Ty Johnson","NYJ","RB66","3.0","13.7","0.0","1.0","4.8","0.0","0.0","2.0"
"Vance McDonald","PIT","TE47","0.0","0.0","0.0","1.7","16.5","0.1","0.0","2.0"
"JJ Arcega-Whiteside","PHI","WR110","0.1","0.3","0.0","1.3","17.9","0.0","0.0","2.0"
"Keith Kirkwood","CAR","WR111","0.0","0.1","0.0","1.3","16.6","0.1","0.0","2.0"
"Darrel Williams","KC","RB67","3.4","10.6","0.0","1.4","7.1","0.0","0.0","2.0"
"Albert Okwuegbunam","DEN","TE48","0.0","0.0","0.0","1.4","14.9","0.1","0.0","2.0"
"Jason Croom","PHI","TE49","0.0","0.0","0.0","1.5","16.2","0.1","0.1","2.0"
"Kyle Juszczyk","SF","RB68","0.8","2.9","0.0","1.5","14.1","0.0","0.0","2.0"
"Devontae Booker","LV","RB69","3.5","13.1","0.0","0.8","4.9","0.0","0.0","2.0"
"Royce Freeman","DEN","RB70","3.2","11.8","0.0","0.9","6.0","0.0","0.0","1.9"
"Isaiah McKenzie","BUF","WR112","0.5","2.4","0.0","1.3","12.4","0.0","0.0","1.9"
"Jordan Thomas","ARI","TE50","0.0","0.0","0.0","0.7","7.1","0.2","0.0","1.9"
"Mike Thomas","CIN","WR113","0.2","0.7","0.0","1.5","16.4","0.1","0.1","1.9"
"Qadree Ollison","ATL","RB71","1.7","7.5","0.2","0.2","1.5","0.0","0.0","1.9"
"Austin Mack","NYG","WR114","0.1","0.4","0.0","1.2","14.9","0.1","0.0","1.9"
"Auden Tate","CIN","WR115","0.0","0.0","0.0","1.0","13.2","0.1","0.0","1.8"
"LeSean McCoy","TB","RB72","2.3","6.4","0.0","1.2","7.5","0.0","0.0","1.8"
