"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Boston Scott","PHI","RB63","3.7","12.6","0.1","1.7","9.9","0.0","0.0","2.6"
"Giovani Bernard","CIN","RB64","2.3","8.2","0.0","1.9","14.4","0.0","0.0","2.5"
"Tevin Coleman","SF","RB65","3.9","14.1","0.1","0.5","4.0","0.0","0.0","2.4"
"Ray-Ray McCloud","PIT","WR95","0.3","1.7","0.0","1.5","17.1","0.1","0.0","2.4"
"Ryan Izzo","NE","TE32","0.0","0.0","0.0","1.6","17.9","0.1","0.0","2.4"
"James O'Shaughnessy","JAC","TE33","0.0","0.0","0.0","1.7","17.7","0.1","0.0","2.3"
"Olabisi Johnson","MIN","WR96","0.0","0.1","0.0","1.5","19.1","0.1","0.0","2.3"
"Corey Davis","TEN","WR97","0.1","0.4","0.0","1.7","22.4","0.0","0.0","2.3"
"Equanimeous St. Brown","GB","WR98","0.0","0.1","0.0","1.3","17.4","0.1","0.0","2.3"
"Vance McDonald","PIT","TE34","0.0","0.0","0.0","1.7","16.8","0.1","0.0","2.3"
"Jesse James","DET","TE35","0.0","0.0","0.0","1.4","16.1","0.1","0.0","2.3"
"Jake Butt","DEN","TE36","0.0","0.0","0.0","1.6","17.0","0.1","0.0","2.3"
"Ito Smith","ATL","RB66","2.7","10.5","0.1","1.3","7.6","0.0","0.0","2.3"
"Van Jefferson","LAR","WR99","0.2","0.8","0.0","1.4","17.8","0.1","0.0","2.2"
"Jakobi Meyers","NE","WR100","0.0","0.0","0.0","1.6","21.7","0.0","0.0","2.2"
"Kyle Juszczyk","SF","RB67","0.9","2.9","0.0","1.5","14.1","0.1","0.0","2.2"
"Collin Johnson","JAC","WR101","0.0","0.2","0.0","1.3","17.2","0.1","0.0","2.1"
"Isaiah McKenzie","BUF","WR102","0.3","2.3","0.0","1.4","14.5","0.1","0.0","2.1"
"Rashard Higgins","CLE","WR103","0.0","0.3","0.0","1.2","16.5","0.1","0.0","2.1"
"Ryan Griffin","NYJ","TE37","0.0","0.0","0.0","1.6","15.7","0.1","0.0","2.1"
"Nick Vannett","DEN","TE38","0.0","0.0","0.0","1.7","16.7","0.1","0.0","2.1"
"Tanner Hudson","TB","TE39","0.0","0.0","0.0","1.6","17.9","0.1","0.0","2.1"
"Trenton Cannon","CAR","RB68","2.7","9.3","0.1","0.9","6.1","0.0","0.0","2.1"
"Dante Pettis","SF","WR104","0.0","0.0","0.0","1.1","16.2","0.1","0.0","2.0"
"Mike Thomas","CIN","WR105","0.1","0.4","0.0","1.6","17.7","0.1","0.1","2.0"
"Peyton Barber","WAS","RB69","3.9","12.5","0.1","0.5","2.4","0.0","0.0","2.0"
"David Njoku","CLE","TE40","0.0","0.0","0.0","1.3","15.1","0.1","0.0","2.0"
"Jeff Wilson Jr.","SF","RB70","3.2","12.7","0.1","0.6","3.5","0.0","0.1","2.0"
