UniquePlayer,MaddenPlayer,PerfMatch,PerfName,DKPointsName,Status
Randall CobbWR15260889,Randall CobbWR15260889,Randall CobbWR15260889,Randall Cobb,"Cobb, Randall",
Tim BoyleQB15260875,Tim BoyleQB15260875,Tim BoyleQB15260875,Tim Boyle,"Boyle, Tim",
Case KeenumQB15260885,Case KeenumQB15260885,,,,NoMatch
Hunter RenfrowWR15260876,Hunter RenfrowWR15260876,Hunter RenfrowWR15260876,Hunter Renfrow,"Renfrow, Hunter",
Larry FitzgeraldWR15260888,Larry FitzgeraldWR15260888,Larry FitzgeraldWR15260888,Larry Fitzgerald,"Fitzgerald, Larry",
Brandon AiyukWR15260863,Brandon AiyukWR15260863,,,,NoMatch
Malcolm BrownRB15260882,Malcolm BrownRB15260882,Malcolm BrownRB15260882,Malcolm Brown,"Brown, Malcolm",
Devlin HodgesQB15260860,Devlin HodgesQB15260860,,,,NoMatch
N'Keal HarryWR15260865,N'Keal HarryWR15260865,N'Keal HarryWR15260865,N'Keal Harry,"Harry, N'Keal",
Kerryon JohnsonRB15260874,Kerryon JohnsonRB15260874,Kerryon JohnsonRB15260874,Kerryon Johnson,"Johnson, Kerryon",
Taysom HillQB15260880,Taysom HillQB15260880,Taysom HillQB15260880,Taysom Hill,"Hill, Taysom",
Kenny StillsWR15260889,Kenny StillsWR15260889,,,,NoMatch
AJ DillonRB15260875,A.J. DillonRB15260875,AJ DillonRB15260875,AJ Dillon,"Dillon, AJ",
Mike GlennonQB15260884,Mike GlennonQB15260884,,,,NoMatch
Michael Pittman Jr.WR15260867,Michael Pittman JrWR15260867,Michael Pittman Jr.WR15260867,Michael Pittman Jr.,"Pittman Jr., Michael",
Laviska Shenault Jr.WR15260884,Laviska Shenault JrWR15260884,Laviska Shenault Jr.WR15260884,Laviska Shenault Jr.,"Shenault Jr., Laviska",
Devin DuvernayWR15260866,Devin DuvernayWR15260866,Devin DuvernayWR15260866,Devin Duvernay,"Duvernay, Devin",
Joe FlaccoQB15260887,Joe FlaccoQB15260887,,,,NoMatch
Zack MossRB15260861,Zack MossRB15260861,Zack MossRB15260861,Zack Moss,"Moss, Zack",
Reggie BonnafonRB15260878,Reggie BonnafonRB15260878,,,,NoMatch
Giovani BernardRB15260869,Giovani BernardRB15260869,Giovani BernardRB15260869,Giovani Bernard,"Bernard, Giovani",
Justin JacksonRB15260872,Justin JacksonRB15260872,Justin JacksonRB15260872,Justin Jackson,"Jackson, Justin",
Tee HigginsWR15260869,Tee HigginsWR15260869,,,,NoMatch
Chase EdmondsRB15260888,Chase EdmondsRB15260888,Chase EdmondsRB15260888,Chase Edmonds,"Edmonds, Chase",
Dion LewisRB15260879,Dion LewisRB15260879,Dion LewisRB15260879,Dion Lewis,"Lewis, Dion",
Jonnu SmithTE15260871,Jonnu SmithTE15260871,Jonnu SmithTE15260871,Jonnu Smith,"Smith, Jonnu",
Damien HarrisRB15260865,Damien HarrisRB15260865,,,,NoMatch
Ito SmithRB15260883,Ito SmithRB15260883,Ito SmithRB15260883,Ito Smith,"Smith, Ito",
Russell GageWR15260883,Russell Gage JrWR15260883,Russell GageWR15260883,Russell Gage,"Gage, Russell",
Hayden HurstTE15260883,Hayden HurstTE15260883,Hayden HurstTE15260883,Hayden Hurst,"Hurst, Hayden",
Jalen ReagorWR15260862,Jalen ReagorWR15260862,Jalen ReagorWR15260862,Jalen Reagor,"Reagor, Jalen",
Jordan LoveQB15260875,Jordan LoveQB15260875,,,,NoMatch
Rashard HigginsWR15260885,Rashard HigginsWR15260885,Rashard HigginsWR15260885,Rashard Higgins,"Higgins, Rashard",
Matt BarkleyQB15260861,Matt BarkleyQB15260861,,,,NoMatch
Denzel MimsWR15260887,Denzel MimsWR15260887,,,,NoMatch
Joshua KelleyRB15260872,Joshua KelleyRB15260872,Joshua KelleyRB15260872,Joshua Kelley,"Kelley, Joshua",
James WashingtonWR15260860,James WashingtonWR15260860,James WashingtonWR15260860,James Washington,"Washington, James",
Lynn Bowden Jr.RB15260890,Lynn Bowden JrRB15260876,,,,NoMatch
T.J. HockensonTE15260874,T.J. HockensonTE15260874,T.J. HockensonTE15260874,T.J. Hockenson,"Hockenson, T.J.",
Tommy StevensQB15260880,Tommy StevensQB15260880,,,,NoMatch
Kurt BenkertQB15260883,Kurt BenkertQB15260883,,,,NoMatch
Phillip Dorsett IIWR15260881,Phillip Dorsett IIWR15260881,,,,NoMatch
Darrel WilliamsRB15260868,Darrel WilliamsRB15260868,Darrel WilliamsRB15260868,Darrel Williams,"Williams, Darrel",
Mecole HardmanWR15260868,Mecole HardmanWR15260868,Mecole HardmanWR15260868,Mecole Hardman,"Hardman, Mecole",
Greg WardWR15260862,Greg Ward JrWR15260862,Greg WardWR15260862,Greg Ward,"Ward, Greg",
Alexander MattisonRB15260877,Alexander MattisonRB15260877,Alexander MattisonRB15260877,Alexander Mattison,"Mattison, Alexander",
Zach PascalWR15260867,Zach PascalWR15260867,Zach PascalWR15260867,Zach Pascal,"Pascal, Zach",
